config,params,test_acc,size_MB,latency_ms,latency_std_ms,ratio
baseline,1528106,0.9338,6.24,37.29,1.06,0.0
prune 10% + 1ep ft,1240101,0.5501,5.08,33.61,0.61,0.1
prune 20% + 1ep ft,986506,0.1283,4.06,30.21,0.78,0.2
prune 30% + 1ep ft,762585,0.1238,3.16,26.58,0.53,0.3
prune 40% + 1ep ft,566775,0.0971,2.37,22.9,0.43,0.4
prune 50% + 1ep ft,403354,0.1127,1.72,19.37,0.26,0.5
prune 60% + 1ep ft,262541,0.101,1.15,15.73,0.39,0.6
prune 70% + 1ep ft,153434,0.1,0.71,12.18,0.55,0.7
prune 80% + 1ep ft,73045,0.1,0.38,8.52,0.07,0.8
prune 90% + 1ep ft,21948,0.1,0.17,4.91,0.23,0.9
